NO,DESC,PNR,SNR,LLP_HRS_AT_SV,LLP_CYC_AT_SV,LLP_TSN,LLP_CSN,CYC_LIMIT,%_CYC_USED,%_CYC_REM,REM_CYC,LLP_DUE
1,SPOOL ASSY- BOOSTER,338-001-906-0,DC903365,38818,26557,49955.3,33538,30000.0,-11.79,111.78999999999999,-3538.0,1976-02-07
2,DISK ASSY-FAN,338-001-504-0,MA216066,21821,13211,32958.3,20192,30000.0,32.69,67.31,9808.0,2150-12-21
3,SHAFT ASSY- FAN,338-010-601-0,DE690486,24126,16455,35263.3,23436,30000.0,21.88,78.12,6564.0,2108-06-20
4,SHAFT-CPRSR ROTOR,1386M56P03,GWNOJJ99,24126,16455,35263.3,23436,20000.0,-17.18,117.18,-3436.0,1977-06-09
5,SPOOL ASSY- CPRSR ROTOR STAGES 1 AND 2,1558M31G07,GWNOK4E9,24126,16455,35263.3,23436,20000.0,-17.18,117.18,-3436.0,1977-06-09
6,DISK-STG 3,1590M59P01,XAEL8341,24126,16455,35263.3,23436,20000.0,-17.18,117.18,-3436.0,1977-06-09
7,SPOOL ASSY- CPRSR ROTOR STAGES 4 THR,1588M89G03,GWNOJF15,24126,16455,35263.3,23436,20000.0,-17.18,117.18,-3436.0,1977-06-09
8,SEAL- ROTATING AIR REAR,1523M35P01,GFF5EGNJ,24126,16455,35263.3,23436,20000.0,-17.18,117.18,-3436.0,1977-06-09
9,SHAFT-HPT FRONT,1873M73P01,XAEM6123,24126,16455,35263.3,23436,20000.0,-17.18,117.18,-3436.0,1977-06-09
10,SEAL- ROTATING AIR HPT FRONT,1795M36P02,TMTNM972,24126,16455,35263.3,23436,20000.0,-17.18,117.18,-3436.0,1977-06-09
11,DISK-HPT ROTOR,1498M43P06,GWNOK8CT,24126,16455,35263.3,23436,20000.0,-17.18,117.18,-3436.0,1977-06-09
12,SHAFT-HPT REAR,1864M90P05,TMT3S918,24126,16455,35263.3,23436,20000.0,-17.18,117.18,-3436.0,1977-06-09
13,DISK-LPT STG 1,336‐001‐804‐0,PA167420,24126,16455,35263.3,23436,25000.0,6.26,93.74,1564.0,2042-12-14
14,DISK-LPT STG 2,336-001-909-0,DD655610,24126,16455,35263.3,23436,25000.0,6.26,93.74,1564.0,2042-12-14
15,DISK-LPT STG 3,336-002-006-0,DD654445,24126,16455,35263.3,23436,25000.0,6.26,93.74,1564.0,2042-12-14
16,DISK-LPT STG 4,336-002-105-0,PA072075,24126,16455,35263.3,23436,25000.0,6.26,93.74,1564.0,2042-12-14
17,"SUPPORT, CONICAL LPT",338‐077‐502‐0,DD763184,24126,16455,35263.3,23436,25000.0,6.26,93.74,1564.0,2042-12-14
18,SHAFT-LPT,338‐010‐005‐0,DE199197,24126,16455,35263.3,23436,25000.0,6.26,93.74,1564.0,2042-12-14
19,CASE LPT,338‐117‐407‐0,DE124904,24126,16455,35263.3,23436,,,,,
20,FRAME ASSY-LPT,338‐102‐907‐0,LA057802,43754,36399,54891.3,43380,,,,,
