Source.Name,ATA,PUBLICATION NO.,RECEIVED DATE,ISSUE DATE,EFFECTIVE DATE,BIWEEKLY NUMBER,TC HOLDER,AC TYPE,SUBJECT,SUPERSEDES,REFERENCE,AFFECTED PART,METHOD OF COMPLIANCE,COMPLIANCE TIME,REPEAT INTERVAL,EFFECTIVITY,PARTS PROHIBITION,PIC,EVALUATION DATE,TDE NUMBER,TDE STATUS,ENGINEERING ACTION,Issued Instructions
easa_biweekly_01-2022.csv,,2022-0001,,7-Jan-2022,,,AIRBUS,A380,Wings - Inner Rear Spar Trailing Edge - Modification,,,,,,,,,,,,,,
easa_biweekly_01-2022.csv,,CF-2021-49,,5-Jan-2022,,,MHI RJ Aviation ULC,CL-600 (Regional Jet),Landing Gear - Landing Gear System - General,,,,,,,,,,,,,,
easa_biweekly_01-2022.csv,,2020-FATA-01020A-13,,4-Jan-2022,,,IRKUT CORPORATION JSC,RRJ-95,NOT ADOPTED - EASA DECISION ATTACHED,,,,,,,,,,,,,,
easa_biweekly_01-2022.csv,,US-2021-26-04,,3-Jan-2022,,,ENGINE ALLIANCE LLC,GP7200,Engine - Fan Hub Assembly - Inspection / Replacement ,,,,,,,,,,,,,,
easa_biweekly_01-2022.csv,,CF-2021-51,,3-Jan-2022,,,VIKING AIR LTD,CL-215,Equipment/Furnishings - Water Bombing System - Un-commanded Water Door Opening,,,,,,,,,,,,,,
easa_biweekly_01-2022.csv,,US-2021-25-11,,3-Jan-2022,,,PIPER AIRCRAFT INC.,PA-23 (Aztec),Stabilizers - Horizontal Stabilator Tip Tube and Weight Assemblies - Inspection,,,,,,,,,,,,,,
easa_biweekly_01-2022.csv,,US-2021-24-02,,3-Jan-2022,,,BOEING,MD-11,Electrical Power - Observer Station Circuit Breaker Panel - Inspection,,,,,,,,,,,,,,
easa_biweekly_01-2022.csv,,2017-0042-CN,,3-Jan-2022,,,AIRBUS HELICOPTERS,SA 330 / AS 332 / EC 225,CANCELLED: Main Rotor Drive / Engine Oil - Main Gearbox Oil Cooler - Inspection,,,,,,,,,,,,,,
easa_biweekly_01-2022.csv,,US-2021-23-21,,3-Jan-2022,,,BOEING,787,Fuselage - Aft Wheel Well Bulkhead Structural Joints - Inspection,,,,,,,,,,,,,,
easa_biweekly_01-2022.csv,,US-2021-23-20,,3-Jan-2022,,,BOEING,787,Fuselage - Wing Front Spar Structural Joints - Inspection,,,,,,,,,,,,,,
