REG,DESC,PNR,SNR,EIS_TSN,EIS_CSN,CURR_TSN,CURR_CSN,INSTALL_DATE,INSTALL_TSN,INSTALL_CSN,SV_DATE,SV_TSN,SV_CSN,TSI,CSI,TLSV,CLSV,DAYS_SINCE_INSTALL,HRS_PER_DAY,CYCLES_PER_DAY
PK-PWA,Engine 1,CFM56-5B4/3,699235,37661,19593,37684.3,19605,2020-12-23,37489,19469,2018-04-18,30786,15250,195.3000000000029,136,6898.300000000003,4355,540 days 11:30:59.824389,0.3616666666666721,0.2518518518518518
PK-PWA,Engine 2,CFM56-5B4/P,779506,43754,36399,43777.3,36411,2022-04-10,43745,36397,2015-01-16,32640,29430,32.30000000000291,14,11137.300000000003,6981,67 days 11:30:59.824389,0.4820895522388494,0.208955223880597
PK-PWA,APU,4500001B,2020,31036,33929,31059.3,33941,2020-12-24,30812,33694,2019-12-27,29475,32111,247.29999999999927,247,1584.2999999999993,1830,539 days 11:30:59.824389,0.45881261595547174,0.4582560296846011
PK-PWA,NLG,D23757500-8,B3354,36069,15930,36092.3,15942,2019-03-28,32383,13717,2018-12-29,32383,13717,3709.300000000003,2225,3709.300000000003,2225,1176 days 11:30:59.824389,3.154166666666669,1.8920068027210883
PK-PWA,LH MLG,201582001-040,MDG5239,36069,15930,36092.3,15942,2019-03-28,32383,13717,2018-12-29,32383,13717,3709.300000000003,2225,3709.300000000003,2225,1176 days 11:30:59.824389,3.154166666666669,1.8920068027210883
PK-PWA,RH MLG,201582002-040,MDG5240,36069,15930,36092.3,15942,2019-03-28,32383,13717,2018-12-29,32383,13717,3709.300000000003,2225,3709.300000000003,2225,1176 days 11:30:59.824389,3.154166666666669,1.8920068027210883
PK-PWC,Engine 1,CFM56-5B4/3,645445,24603,15940,24715.5,16001,2021-10-12,24343,15760,2018-10-10,20938,13447,372.5,241,3777.5,2554,247 days 11:30:59.824389,1.508097165991903,0.9757085020242915
PK-PWC,Engine 2,CFM56-5B4/3,645446,26304,17046,26416.5,17107,2019-06-24,22150,14311,2019-05-15,22150,14311,4266.5,2796,4266.5,2796,1088 days 11:30:59.824389,3.9214154411764706,2.5698529411764706
PK-PWC,APU,131-9A,P-5340,13945,19401,14057.5,19462,2022-01-26,13909,19345,2021-12-18,13909,19345,148.5,117,148.5,117,141 days 11:30:59.824389,1.053191489361702,0.8297872340425532
PK-PWC,NLG,D23757500-9,13B17656,27387,17923,27499.5,17984,2021-12-18,27369,17917,2021-08-19,27369,17917,130.5,67,130.5,67,180 days 11:30:59.824389,0.725,0.37222222222222223
PK-PWC,LH MLG,201581001,MDL5552,27387,17923,27499.5,17984,2021-12-18,27369,17917,2021-08-19,27369,17917,130.5,67,130.5,67,180 days 11:30:59.824389,0.725,0.37222222222222223
PK-PWC,RH MLG,201581002,MDL5552,27387,17923,27499.5,17984,2021-12-18,27369,17917,2021-08-19,27369,17917,130.5,67,130.5,67,180 days 11:30:59.824389,0.725,0.37222222222222223
