AC_REG,DEP_STA,ARR_STA,CYC,TO_DATE,TO_TIME (UTC),LAND_DATE,LAND_TIME (UTC),DELAY,IMPACT_DEL,DR,FL_DURR
PK-PWA,SHJ,CCU,1,2022-04-10,22:43,2022-04-11,3:29,0,0,,
PK-PWA,CCU,CGK,1,2022-04-17,4:56,2022-04-17,10:00,0,0,,
PK-PWA,CGK,KNO,1,2022-04-24,,2022-04-24,,0,0,,
PK-PWA,KNO,CGK,1,2022-04-24,7:48,2022-04-24,9:58,0,0,,
PK-PWA,CGK,BDJ,1,2022-04-25,,2022-04-25,,0,0,,
PK-PWA,BDJ,CGK,1,2022-04-25,5:18,2022-04-25,6:43,0,0,,
PK-PWA,CGK,SUB,1,2022-04-25,8:35,2022-04-25,9:52,0,0,,
PK-PWA,SUB,CGK,1,2022-04-25,11:05,2022-04-25,12:15,0,0,,
PK-PWC,MPL,DWC,1,2022-04-09,14:48,2022-04-09,21:09,0,0,,
PK-PWC,DWC,UTP,1,2022-04-10,20:28,2022-04-11,2:50,0,0,,
PK-PWC,UTP,CGK,1,2022-04-11,3:55,2022-04-11,7:15,0,0,,
PK-PWC,CGK,DPS,1,2022-04-24,5:48,2022-04-24,7:40,0,0,,
PK-PWC,DPS,CGK,1,2022-04-24,9:08,2022-04-24,11:09,0,0,,
PK-PWC,CGK,SUB,1,2022-04-24,12:55,2022-04-24,14:19,0,0,,
PK-PWC,SUB,CGK,1,2022-04-24,14:53,2022-04-24,16:26,0,0,,
PK-PWC,CGK,DPS,1,2022-04-25,3:48,2022-04-25,5:45,0,0,,
PK-PWC,DPS,CGK,1,2022-04-25,6:42,2022-04-25,8:34,0,0,,
PK-PWC,CGK,BPN,1,2022-04-25,9:26,2022-04-25,12:10,0,0,,
PK-PWC,BPN,CGK,1,2022-04-25,13:22,2022-04-25,15:04,0,0,,
PK-PWC,CGK,SUB,1,2022-04-26,11:04,2022-04-26,12:37,0,0,,
PK-PWC,SUB,CGK,1,2022-04-26,13:42,2022-04-26,15:15,0,0,,
PK-PWC,CGK,DPS,1,2022-04-28,2:47,2022-04-28,4:18,0,0,,
PK-PWC,DPS,CGK,1,2022-04-28,7:22,2022-04-28,8:56,0,0,,
PK-PWA,CGK,DPS,1,2022-04-29,9:31,2022-04-29,11:27,0,0,,
PK-PWA,DPS,CGK,1,2022-04-29,13:54,2022-04-29,16:00,0,0,,
PK-PWC,CGK,DPS,1,2022-04-30,9:47,2022-04-30,12:02,0,0,,
PK-PWC,DPS,CGK,1,2022-04-30,13:47,2022-04-30,15:41,0,0,,
PK-PWC,CGK,DPS,1,2022-05-06,9:17,2022-05-06,11:09,0,0,,
PK-PWC,DPS,CGK,1,2022-05-06,14:02,2022-05-06,16:01,0,0,,
PK-PWC,CGK,DPS,1,2022-05-08,9:24,2022-05-08,11:26,0,0,,
PK-PWC,DPS,CGK,1,2022-05-08,14:13,2022-05-08,16:16,0,0,,
PK-PWC,CGK,DPS,1,2022-05-09,9:25,2022-05-09,11:21,0,0,,
PK-PWC,DPS,CGK,1,2022-05-09,14:01,2022-05-09,15:50,0,0,,
PK-PWC,CGK,DPS,1,2022-05-11,2:45,2022-05-11,4:15,0,0,,
PK-PWC,DPS,CGK,1,2022-05-11,7:02,2022-05-11,8:36,0,0,,
PK-PWC,CGK,DPS,1,2022-05-13,3:07,2022-05-13,4:40,0,0,,
PK-PWC,DPS,CGK,1,2022-05-13,6:59,2022-05-13,8:22,0,0,,
PK-PWC,CGK,DPS,1,2022-05-15,9:17,2022-05-15,11:11,0,0,,
PK-PWC,DPS,CGK,1,2022-05-15,13:57,2022-05-15,15:51,0,0,,
PK-PWC,CGK,DPS,1,2022-05-16,2:34,2022-05-16,4:00,0,0,,
PK-PWC,DPS,CGK,1,2022-05-16,7:06,2022-05-16,8:53,0,0,,
PK-PWC,CGK,DPS,1,2022-05-18,2:38,2022-05-18,4:05,0,0,,
PK-PWC,DPS,CGK,1,2022-05-18,7:05,2022-05-18,8:50,0,0,,
PK-PWC,CGK,DPS,1,2022-05-20,2:57,2022-05-20,4:24,0,0,,
